Date,Open,High,Low,Close,Volume
24-Mar-14,167.13,167.98,165.10,165.72,2722989
21-Mar-14,169.69,170.00,166.91,166.95,4795425
20-Mar-14,167.88,170.45,167.27,169.22,3950521
19-Mar-14,168.49,170.16,166.80,168.18,3534103
18-Mar-14,167.27,169.00,167.01,168.09,1941251
17-Mar-14,166.38,168.80,166.33,166.84,3207398
14-Mar-14,166.90,167.40,165.03,165.35,2762052
13-Mar-14,170.48,171.24,166.57,166.70,3421385
12-Mar-14,169.13,169.99,167.81,169.72,2565816
11-Mar-14,173.96,173.96,169.85,169.89,3837217
10-Mar-14,173.60,174.49,172.47,173.51,2191673
7-Mar-14,173.98,175.59,173.11,174.26,4095634
6-Mar-14,172.71,174.00,172.49,172.60,3408257
5-Mar-14,168.80,172.90,168.25,171.90,4465314
4-Mar-14,166.64,168.76,166.20,168.73,3453120
3-Mar-14,164.22,165.31,163.66,164.74,3155408
28-Feb-14,164.81,167.82,164.57,166.45,4291928
27-Feb-14,162.66,165.79,162.34,165.38,3853776
26-Feb-14,163.26,163.90,160.77,162.80,3987988
25-Feb-14,166.11,166.30,163.16,163.48,3706698
24-Feb-14,164.08,167.41,164.08,166.54,3268511
21-Feb-14,164.30,165.65,164.15,164.50,2601608
20-Feb-14,163.49,164.97,162.67,164.50,2656478
19-Feb-14,163.91,166.18,162.98,163.26,3730651
18-Feb-14,164.04,165.59,163.72,164.65,3425988
14-Feb-14,163.33,164.50,162.93,163.72,4221951
13-Feb-14,162.55,164.40,162.10,164.06,3138242
12-Feb-14,164.50,165.23,163.23,163.50,3067337
11-Feb-14,161.21,164.96,160.31,164.39,5034450
10-Feb-14,161.02,161.77,160.28,161.00,4331377
7-Feb-14,162.78,162.90,160.27,161.93,5003902
6-Feb-14,161.16,162.00,160.10,161.75,3798525
5-Feb-14,160.59,162.65,160.32,160.42,3238037
4-Feb-14,160.90,162.58,159.85,161.76,3366839
